incident_id,attack_type,target_sector,incident_date,severity_level,reported_location,estimated_loss_usd
1,Phishing,Retail,2023-10-23,Medium,FL,1832931.25
2,Malware,Banking,2024-02-28,Low,FL,2747505.61
3,Ransomware,Education,2024-01-14,Medium,NY,2605283.17
4,DDoS,Healthcare,2023-01-06,Medium,NY,4634961.87
5,SQL Injection,Retail,2024-05-31,Critical,GA,2508725.42
6,Phishing,Education,2024-05-03,Low,IL,3184615.39
7,Ransomware,Banking,2024-05-03,High,CA,1174830.92
8,DDoS,Healthcare,2023-12-23,High,IL,1817739.1
9,Ransomware,Government,2023-06-25,Medium,GA,4467520.72
10,Ransomware,Government,2023-07-07,Medium,GA,3829811.21
11,SQL Injection,Education,2024-12-05,Medium,CA,3977235.78
12,Ransomware,Healthcare,2023-09-23,High,NC,1615225.12
13,Malware,Banking,2024-10-03,Medium,OH,462644.97
14,Ransomware,Education,2023-12-21,Critical,NY,4769917
15,Phishing,Healthcare,2023-12-31,Low,GA,2250157.11
16,DDoS,Healthcare,2024-04-05,Medium,PA,2791393.27
17,Phishing,Banking,2023-08-08,Low,TX,854867.85
18,Phishing,Banking,2024-02-03,Low,CA,106025.57
19,Phishing,Government,2024-12-10,High,GA,1059645.91
20,SQL Injection,Education,2023-03-02,Low,NY,1592081.64
21,DDoS,Banking,2024-04-26,Medium,NY,2912983.97
22,Malware,Banking,2024-02-23,Low,PA,256597.76
23,Malware,Retail,2024-11-27,Low,NC,1249355.9
24,SQL Injection,Healthcare,2024-08-08,Medium,NY,73547.53
25,Malware,Education,2024-12-16,High,CA,1092428.36
26,Malware,Banking,2023-05-16,Critical,FL,2618082.84
27,Ransomware,Banking,2023-05-16,Low,GA,1649393.72
28,Ransomware,Government,2024-09-08,Low,CA,3707338.12
29,Phishing,Government,2023-05-12,Medium,TX,4777789.22
30,Phishing,Government,2023-04-26,Low,NY,1116083
31,SQL Injection,Retail,2024-12-31,Low,PA,4884418.54
32,SQL Injection,Retail,2024-11-04,Low,TX,459840.8
33,Malware,Government,2023-06-04,Low,NY,3683256.08
34,Malware,Government,2024-03-30,High,NY,1367956.84
35,Phishing,Banking,2024-04-19,Medium,PA,1382374.3
36,Ransomware,Retail,2024-06-08,High,CA,302632.69
37,Malware,Banking,2024-01-27,Low,TX,1140300.05
38,Phishing,Banking,2024-06-20,Low,FL,3794887.55
39,Phishing,Government,2024-11-23,Medium,TX,1723052.66
40,Phishing,Retail,2023-06-30,Medium,FL,3585959.62
41,Phishing,Education,2023-04-28,Medium,TX,1015707.27
42,Ransomware,Education,2023-10-09,Medium,FL,276712.12
43,Ransomware,Banking,2024-04-09,Low,PA,3634390.89
44,Ransomware,Banking,2024-01-31,High,NY,1331529.29
45,Phishing,Healthcare,2024-02-04,Critical,CA,1651423.91
46,Phishing,Education,2023-05-18,High,PA,4262514.92
47,Phishing,Retail,2024-03-06,High,IL,28019.99
48,Ransomware,Education,2023-09-19,Low,GA,2166398.38
49,Phishing,Retail,2024-10-22,Medium,CA,591987.66
50,DDoS,Healthcare,2023-03-22,Medium,CA,2519030.76
51,Phishing,Banking,2023-10-09,Low,FL,4879272.81
52,Ransomware,Government,2023-12-23,High,GA,3308777.05
53,Malware,Education,2023-12-17,High,TX,4420741.67
54,Phishing,Retail,2023-10-07,Low,CA,3673106.72
55,Ransomware,Retail,2024-12-12,High,TX,2526428.35
56,Phishing,Retail,2024-07-30,Low,NY,4430701.99
57,Phishing,Government,2023-11-14,Medium,TX,2477096
